Heads of Receipts,TAX REVENUE,DIRECT TAXES,Corporation tax,Taxes on income,Estate duty,Interest tax,Wealth tax,Gift tax,Land revenue,Agricultural tax,Hotel receipts tax,Expenditure tax,Others,INDIRECT TAXES,Customs,Union excise duties,Service tax,State excise duty,Stamp & registration fees,General sales tax,Taxes on vehicle,Entertainment tax,Taxes on goods & passengers,Taxes & duty on electricity,Taxes on purchase of sugarcane (including cess on sugarcane),Others,NON-TAX REVENUE,Net contribution of public undertakings,Net contribution of departmental undertakings,Railways,Posts,Profits of RBI,Forests,Power projects,Irrigation projects (commercial) and Multipurpose river projects,Discount royalty on crude oil,Others,Dividends from non-depart- mental undertakings,Interest receipts,Fiscal Services,General Services,Social & Community Services,Economic Services,External grants,SELF-BALANCING ITEM,TRANSFER FROM FUNDS,ADJUSTMENT ON ACCOUNT OF DIFFERENCE IN FIGURES OF TRANSFERS,OTHER ADJUSTMENTS,TOTAL
1990-91 ,87723.28,12260.11,5335.26,5377.1,3.07,-0.86,231.17,3.38,603.47,169.44,0.71,80.27,457.1,75463.17,20643.75,24514.36,,4992.48,2127.89,18227.98,1592.51,422.09,1099.95,1190.37,88.28,563.51,12286.78,-369.41,-966.21,0,-191.65,210,404.21,-319.05,-1568.86,506.84,-7.7,596.8,5978.79,563.41,2464.69,660.99,2402.7,585.61,5.45,672.05,-1405.63,0,99281.93
1995-96 ,175259.4,35778.25,16487.12,15591.81,0.39,1170.05,74.16,11.4,1327.34,142.27,6.69,228.08,738.94,139481.15,35756.83,40187.25,862,8659.65,5923.87,35692.72,3747.76,703.4,1457.09,2381.13,53.7,4055.75,32867.7,3414.75,1562.86,0,-659.41,1500,479.56,-802.79,-1318.82,1259.07,1105.25,1851.89,11225.81,1039.23,8987.61,1213.67,5848.61,1138.02,0.04,111.07,-1068.03,0,207170.18
1996-97 ,200055.73,41061.69,18566.62,18234.01,0.06,1712.39,77.44,10.3,1076.62,103.24,10.89,294.21,975.91,158994.04,42850.95,45007.84,1059,8930.63,6294.21,42226.13,4139.77,796,1665.36,2723.73,2022.36,1278.06,33068.19,1693.38,-827.38,0,-703.26,1500,150.5,-2881.28,-1558.75,1293.83,1371.58,2520.76,15128.93,879.42,6643.45,1335.82,6197.39,1189.8,0.04,1168.27,-232.39,0,234059.84
1997-98 ,213065.06,42946.06,20016,17100.6,0.25,1205.18,113.03,9.08,1092,182.01,12.93,2242.02,972.96,170119,40192.78,47961.64,1586,11482.82,7176.38,45539.71,4881.35,1035.08,1949.78,3201.09,3613.52,1498.85,36999.3,2735.74,-41,0,-993.43,2500,62.34,-2132.05,-1984.21,1439.46,1066.89,2776.74,15722.36,873.57,8026.54,1842.99,6779.68,1018.42,0,1449.69,6479.6,0,257993.65
1998-99 ,233017.88,49120.58,24529.11,20240.32,-0.07,1263.82,162.04,9.96,1033.27,241.16,11.44,395.12,1234.41,183897.3,40668.27,53246.16,1957,13532,7458.13,49438.04,5053.25,926.58,1982.36,3779.59,4013.69,1842.23,41386.43,6536.03,4821.92,0,-1590.97,5977.09,-230.87,-419.2,-1568.82,1385.34,1269.35,1714.11,16317.99,873,7364.99,1927.8,7379.34,987.28,0,1718.43,-1353.8,0,274768.94
1999-2000 ,274583.08,60864.29,30692.29,25654.5,-1.06,1211.54,132.91,-3.34,1071.42,150.72,10.78,271.63,1672.9,213718.79,48419.57,61901.77,2128,15187.1,8589.02,57811.15,6188.12,907.35,2102.29,3673.16,4879.99,1931.27,48951.09,8189.25,3745.98,0,-1595.82,5360.32,210.81,-1128.11,-2215.19,1561.53,1552.44,4443.27,17746.07,1096.76,8277.72,2470.75,10062.64,1107.9,0,1714.97,1836.11,0,327085.25
2000-01 ,305320.24,71763.57,35696.27,31763.98,0.31,414.49,131.73,-0.3,1379.07,76.47,10.17,298.17,1993.21,233556.67,47542.2,68526.13,2613.43,15928.54,9365.05,72874.1,6527.66,1203.66,2045.34,4401.76,189.61,2339.19,49361.79,10579.16,7165.96,0,-1549.75,10058.64,-618.8,-1526.33,-2830.18,2162.84,1469.54,3413.2,17267.45,918.4,8595.4,2588.75,8599.16,813.47,0,2054.21,-6757.37,0,349978.87
2001-02 ,332137.02,73110.87,36609.14,32004.09,0.69,189.3,135.36,-1.5,1718.98,22.94,11,259.63,2161.24,259026.15,40268.3,90157.19,3301.9,17248.24,11184.8,77308.13,7677.35,827.57,3690.93,4677.62,87.99,2596.13,62338.23,15898.6,8506.57,0,-1411.51,10026.66,-772.04,434.27,-3676.87,2435.8,1470.26,7392.03,16404.99,1082.31,8079.21,2916.83,16204.68,1751.61,0,2211.9,-17315.75,0,379371.4
2002-03 ,375219.29,87092.56,46172.35,36865.96,0.27,-275.25,153.88,-1.79,1724.19,14.14,12.9,170.63,2255.28,288126.73,44851.62,100890.58,4122.21,18939.25,13470.51,83768.12,8261.62,816.37,3581.44,5177.3,1133.6,3114.11,68040.14,19538.1,8911,0,-1364.4,10932.49,-1186.02,964.71,-3741.49,2273.27,1032.44,10627.1,17446.52,1156.43,9463.95,3236.92,15330,1868.22,0,3786.3,-24037.71,0,423008.02
2003-04 (RE),439089.59,107969.72,62986,40269.8,0,0,145,0,2172.19,12.64,14.17,0,2369.92,331119.87,49350,113139.6,8300,20756.94,15677.43,97559.89,9853.4,915.88,4988.15,6321.9,1406.97,2849.71,78446.86,22989.43,11864.54,0,-1354.49,11239.66,-548.55,888.94,-3105.27,3160.04,1584.21,11124.89,17259.48,1520.45,11772.27,3811.99,18236.11,2857.13,0,4923.09,-9626.79,0,512832.75
2003-04 ,414084.77,109546.6,63562.03,41386.51,-0.38,-46.27,135.83,0.72,2158.8,15.45,14.16,50.46,2269.29,304538.17,48629.22,90774.31,7890.71,19661.17,15934.77,98001,10013.95,755.36,4290.2,5535.09,5.95,3046.44,77927.38,23282.33,11931.37,0,-1375.22,10201.46,-563.83,827.95,-2611.69,3176.05,2276.65,11350.96,18499.66,1448.26,10131.75,3633.46,18772.73,2159.19,0,4357.06,330.09,0,496699.3
2004-05 (BE),527676.02,144702.92,88436,50929.81,0,0,145,0,2620.91,16.84,13.88,0,2540.48,382973.1,54250,133251.02,14150,23881.44,17814.08,111734.22,11180.65,1015.62,5405.85,6651.97,1632.4,2005.85,84128.03,19114.94,5866.22,0,-1374.71,5896.56,-395.74,331.77,-3274.45,2826.41,1856.38,13248.72,19895.84,1185.02,18211.39,3359.42,18763.49,3597.93,0,5451.28,-26722.08,0,590533.25
2004-05 (RE),494016.34,139016.92,83000,50929.81,0,0,265,0,2364.17,21.8,12.93,0,2423.21,354999.42,56250,100720,14150,22657.83,18947.97,116017.57,10995.6,1047.42,5273.39,6917.05,36.27,1986.32,88288.33,21794.81,7957.2,0,-1475.59,7361.89,-509.38,-301.19,-2891.91,4221.35,1552.03,13837.61,18055.95,1345.58,16840.87,3732.51,23454.41,3064.2,0,5343.7,15489.69,0,603138.06
2004-05 ,494370.1,137092.77,82679.58,49268.12,0.2,49.85,145.36,1.89,2532.96,28.4,18.08,35.16,2333.17,357277.33,57610.9,99125.43,14199.98,22196.53,19746.79,116234.31,10769.72,3107.19,5229.11,7240.72,1520.36,296.29,86533.28,15640.79,2559.43,0,-1381.84,10201.46,-304.59,-426.34,-9720.14,3176.05,1014.83,13081.36,18799.66,1057.67,15267.34,4026.37,29179.68,2561.77,0,5264.03,1599.25,0,587766.66
2005-06 (BE),585625.19,182133.28,110573,66239.81,0,0,265,0,2298.99,54.6,13.88,0,2688,403491.91,53182,121533,17500,25293.22,22069.96,134804.5,12741.37,1152.65,5818.02,7407.72,151.4,1838.07,94123.72,24595.35,8122.44,0,-1449.64,7408.26,-420.42,66.54,-3394.69,3545.92,2366.47,16472.91,14779.43,1347.43,19180.25,3565.56,27437.79,3217.91,0,5693.73,-5409.69,0,680032.95
2005-06 (RE),595350.4,173213.87,103573,63500.91,0,0,265,0,3200.55,33.3,19.08,0,2622.03,422136.53,64215,112000,23000,26297.94,24062.84,139041.83,12236.25,882.86,6364.04,9010.49,378.18,4647.1,93548.5,23870.03,5335.5,0,-1145.76,7361.89,-736.74,-1555.78,-4756.25,4221.35,1946.79,18534.53,17738.16,2340.61,16623.46,4872.8,25084.73,3018.71,0,7086.75,15044.1,0,711029.75
2005-06 ,587687.81,167635.04,101277.15,60756.9,-0.72,13.24,250.35,1.96,2706.23,16.56,27.12,30.7,2555.55,420052.77,65067.14,111225.56,23055.26,26359.23,25758.03,136499.62,12191.63,695.83,6477.7,7689.52,78.09,4955.16,99412.27,26127.61,18608.6,0,-1209.88,18547.72,-549.29,-1848.39,-4269.26,5761.71,2175.99,7519.01,19870.55,1689.35,16125.96,6401.45,26174.29,3023.06,0,6243.02,2941.85,0,696284.95
2006-07 (BE),699135,212803.38,133010,73409.91,0,0,265,0,3334.61,36.06,16.15,0,2731.65,486331.62,77066,119000,34500,29817.6,27887.82,159444.28,13648.5,900.06,7486.06,8235.53,2215.07,6130.7,100735.36,25440.3,5043.7,0,-1373.72,7408.26,-626.25,-1147.32,-4987.16,3545.92,2223.97,20396.6,16200.05,151.5,20516.99,4369.54,31440.94,2616.04,0,5955.45,10205.03,0,816030.84
2006-07 (RE),735472.95,230973.51,146497,78210.98,0,0,265,0,3071.96,21.37,14.97,0,2892.23,504499.44,81800,117266,38169.8,30782.33,31902.69,166546.7,14148.59,875.82,7754.31,8571.22,175.89,6506.09,105830.76,30623.37,10861.96,0,-1312,11022.15,-1033.42,-1407.49,-5278.77,6317.04,2554.45,19761.41,18460.67,251.92,22560.25,5102.73,26362.86,2468.96,0,7656.82,10374.93,0,859335.46
2006-07 ,736707.72,231376.32,144318.29,80408.97,1.66,4.92,240.33,4.35,3301.68,14.81,27.27,62.02,2992.02,505331.4,86327.24,117612.76,37597.82,30761.68,33499.69,162297.08,13648.58,768.14,6812.38,8172.79,93.57,7739.67,123391.71,32289.05,12728.53,0,-1249.53,10405.7,-538.22,-1509.55,-4984.39,7776.34,2828.18,19560.52,21953.97,78.37,26811.93,7478.64,32249.41,2530.34,0,6814.29,3629.38,0,870543.1
2007-08 (BE),854812.6,268777.76,168401,93630,0,0,315,0,3288.96,26.31,16.72,0,3099.77,586034.84,98770,130220,50200.8,33062.71,38315.33,192812.21,15954.61,1018.23,8517.25,9065.43,199.85,7898.42,112988.94,33424.38,11161.29,0,-1473.62,12023.14,-518.25,-2326.27,-6060.28,6322.31,3194.26,22263.09,20280.49,522.12,19678.45,5044.58,31903.75,2135.17,0,7566.05,10123.89,0,985491.48
2007-08 (RE),891302.61,304138.29,186125,110271.2,0,0,315,0,3990.67,12.21,25.83,0,3398.38,587164.32,100766,127947,50603.9,35816.13,39898,187791.31,15918.22,942.64,7274.97,9379.31,252.56,10574.28,137441.89,34949.29,12125.21,0,-1258.8,13728.4,-1160.18,-1766.23,-6790.73,6499.73,2873.02,22824.08,20937.87,389.65,30093.73,6344.38,42635.79,2091.18,0,4283.09,17492.84,0,1050520.43
2007-08 ,870329.09,318839.8,192910.83,111820.63,0.3,2.6,340.32,1.57,3285.27,25.91,37.21,7136.16,3279,551489.29,104118.94,123611.03,51301.8,35737.54,36661.79,167731.27,14296.43,865.69,6596.48,7233.19,548.21,2786.92,140906.61,33543.31,12245.45,0,-1511.52,13755.84,-450.89,-2241.36,-7250.74,7761.3,2182.82,21297.86,22890.84,87.08,28259.93,8308.89,45093.95,2722.61,0,4326.56,-8341.44,0,1007220.82
2008-09 (BE),1039040.17,363437.24,226361,128765.3,0,0,325,0,4353.76,13.48,28.54,0,3590.16,675602.93,118930,137874,64460.9,41316.06,46373.69,214694.57,18492.06,1010.32,8915.48,10726.95,243.23,12565.67,132145.1,41435.45,16197.68,0,-1108.84,18445.4,-1180.84,-1021.5,-8113.15,6000.04,3176.57,25237.77,21929.08,121.4,20160.78,6552.94,40150.12,1795.33,0,4404.64,17696.73,0,1193286.64
2008-09 (R.E.),947659.91,346390.19,222000,108001.4,0,0,400,0,3947.35,22.27,28.29,8500,3490.88,601269.72,108000,108359,65000.9,40966.5,40155.18,196040.27,15988.24,989.09,8208.41,8444.21,513.6,8604.32,135167.7,35380.17,13271.88,0,-3950.51,18095.25,-988.54,-2363.41,-9637.06,9398.23,2717.92,22108.29,24955.75,138.13,27126.02,7062.21,37757.41,2748.01,0,4999.97,32921.21,0,1120748.79
